	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
ENSMUSG00000102070	75088	104971	70677	86154	81447	132760
ENSMUSG00000101249	92934	92370	69702	96301	71001	134248
ENSMUSG00000073725	1066	1414	875	1059	537	945
ENSMUSG00000100808	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0
ENSMUSG00000100450	1	0	0	0	0	0
ENSMUSG00000099392	0	0	0	0	0	0
ENSMUSG00000033569	3	6	3	28	10	3
ENSMUSG00000080849	0	0	0	0	0	0
ENSMUSG00000104257	0	0	0	0	0	0
ENSMUSG00000096866	0	0	0	0	0	0
ENSMUSG00000102296	0	0	0	0	0	0
ENSMUSG00000103209	0	0	0	0	0	0
ENSMUSG00000104027	0	0	0	0	0	0
ENSMUSG00000102407	0	0	0	0	0	0
ENSMUSG00000103214	0	0	0	0	0	0
ENSMUSG00000104100	0	0	0	0	0	0
ENSMUSG00000084740	0	0	0	0	0	0
ENSMUSG00000103889	0	0	0	0	0	0
ENSMUSG00000101301	0	0	0	0	0	0
ENSMUSG00000104221	0	0	0	0	0	0
ENSMUSG00000102250	0	0	0	0	0	0
ENSMUSG00000102317	0	0	0	0	0	0
ENSMUSG00000103563	0	0	0	0	0	0
ENSMUSG00000102465	0	0	0	0	0	0
ENSMUSG00000102659	0	0	0	0	0	0
ENSMUSG00000103924	0	0	0	0	0	0
ENSMUSG00000104132	0	0	0	0	0	0
ENSMUSG00000102747	0	0	0	0	0	0
ENSMUSG00000102386	0	0	0	0	0	0
ENSMUSG00000103004	0	0	0	0	0	0
ENSMUSG00000104516	0	0	0	0	0	0
ENSMUSG00000101618	0	0	0	0	0	0
ENSMUSG00000099458	0	0	0	0	0	0
ENSMUSG00000101524	0	0	0	0	0	0
ENSMUSG00000088111	0	0	0	0	0	0
ENSMUSG00000073722	0	0	0	0	0	0
ENSMUSG00000095256	0	1	0	0	0	0
ENSMUSG00000100310	0	0	0	0	0	0
ENSMUSG00000101514	0	0	0	0	0	0
ENSMUSG00000101033	0	0	0	0	0	0
ENSMUSG00000101372	1	1	1	0	0	0
ENSMUSG00000103241	0	0	0	0	0	0
ENSMUSG00000086240	111	58	67	109	56	102
ENSMUSG00000048411	0	0	0	0	0	0
ENSMUSG00000081557	2	1	2	4	2	0
ENSMUSG00000058590	0	0	0	0	0	0
ENSMUSG00000101235	0	0	0	0	0	0
ENSMUSG00000064433	0	0	0	0	0	0
ENSMUSG00000080625	0	0	0	0	0	0
ENSMUSG00000080391	0	0	0	0	0	0
ENSMUSG00000099257	0	0	0	0	0	0
ENSMUSG00000099492	544	501	482	338	343	277
ENSMUSG00000101726	0	0	1	0	0	0
ENSMUSG00000096829	0	0	0	0	0	0
ENSMUSG00000098883	0	0	0	0	0	0
ENSMUSG00000053185	0	0	0	0	0	0
ENSMUSG00000100261	163	35	74	91	177	47
ENSMUSG00000101180	0	2	0	0	0	0
ENSMUSG00000048874	1894	1771	1720	1828	1076	1775
ENSMUSG00000103783	0	0	0	0	0	0
ENSMUSG00000104315	0	0	0	0	0	0
ENSMUSG00000026064	2208	2285	2381	2214	1748	2138
ENSMUSG00000086151	0	0	0	0	0	0
ENSMUSG00000086726	0	0	0	0	0	0
ENSMUSG00000087346	0	0	0	0	0	0
ENSMUSG00000100371	0	0	0	0	0	0
ENSMUSG00000100237	0	0	0	0	0	0
ENSMUSG00000098529	0	0	0	0	0	0
ENSMUSG00000086727	12	0	4	5	0	0
ENSMUSG00000100910	0	0	0	0	0	0
ENSMUSG00000099796	0	0	0	0	0	0
ENSMUSG00000050217	0	0	0	0	0	0
ENSMUSG00000026063	0	0	0	0	0	0
ENSMUSG00000077664	0	0	0	0	0	0
ENSMUSG00000100205	0	0	0	0	0	0
ENSMUSG00000100592	0	0	0	0	0	0
ENSMUSG00000094215	0	0	0	0	0	0
ENSMUSG00000101093	0	0	0	0	0	0
ENSMUSG00000070960	397	238	675	319	336	741
ENSMUSG00000088620	0	0	0	0	0	0
ENSMUSG00000082159	0	0	0	0	0	0
ENSMUSG00000026058	9	7	17	7	74	6
ENSMUSG00000064688	0	0	0	0	0	0
ENSMUSG00000103482	0	0	0	0	0	0
ENSMUSG00000104498	0	0	0	0	0	0
ENSMUSG00000104313	0	0	0	0	0	0
ENSMUSG00000102865	0	0	0	0	0	0
ENSMUSG00000102321	0	0	0	0	0	0
ENSMUSG00000091318	0	0	0	0	0	0
ENSMUSG00000089489	0	0	0	0	0	0
ENSMUSG00000104433	0	0	0	0	0	0
ENSMUSG00000089395	0	0	0	0	0	0
ENSMUSG00000102926	0	0	0	0	0	0
ENSMUSG00000100497	0	0	0	0	0	0
ENSMUSG00000102917	0	0	0	0	0	0
ENSMUSG00000100481	34	31	23	32	18	26
ENSMUSG00000100590	0	0	0	0	0	0
ENSMUSG00000088750	0	0	0	0	0	0
ENSMUSG00000104230	0	0	0	0	0	0
ENSMUSG00000101754	0	0	0	0	0	0
ENSMUSG00000065223	0	0	0	0	0	0
ENSMUSG00000100318	0	0	0	0	0	0
ENSMUSG00000101612	0	0	0	0	1	0
ENSMUSG00000065260	0	0	0	0	0	0
ENSMUSG00000026134	1369	574	1523	1208	1485	877
ENSMUSG00000101682	0	0	0	0	0	0
ENSMUSG00000102714	0	0	0	0	0	0
ENSMUSG00000102093	0	0	0	0	0	0
ENSMUSG00000103746	14	6	20	11	15	19
ENSMUSG00000102198	0	0	0	0	0	0
ENSMUSG00000004768	1127	453	704	753	720	418
ENSMUSG00000042215	1097	703	1294	955	970	961
ENSMUSG00000103072	0	0	0	0	0	0
ENSMUSG00000042197	944	648	1020	1050	822	901
ENSMUSG00000081402	35	45	30	32	48	40
ENSMUSG00000042182	274	38	186	177	133	87
ENSMUSG00000104416	0	0	0	0	0	0
ENSMUSG00000026131	1261	587	715	863	1203	746
ENSMUSG00000103888	0	0	0	0	0	0
ENSMUSG00000103596	0	0	0	0	0	0
ENSMUSG00000099382	0	0	0	0	0	0
ENSMUSG00000084506	0	0	0	0	0	0
ENSMUSG00000103364	0	0	0	0	0	0
ENSMUSG00000103405	0	0	0	0	0	0
ENSMUSG00000096992	0	0	0	0	0	0
ENSMUSG00000104475	0	0	0	0	0	0
ENSMUSG00000103001	0	0	0	0	0	0
ENSMUSG00000104397	0	0	0	0	0	0
ENSMUSG00000102839	0	0	0	0	0	0
ENSMUSG00000101206	0	35	0	0	0	0
ENSMUSG00000101462	56	34	96	59	125	45
ENSMUSG00000102336	61	35	73	59	21	21
ENSMUSG00000092852	0	0	0	0	0	0
ENSMUSG00000042111	717	588	835	776	662	683
ENSMUSG00000101711	1	5	1	2	1	1
ENSMUSG00000026127	626	567	676	686	604	599
ENSMUSG00000026126	441	548	338	332	382	423
ENSMUSG00000100280	0	0	0	0	0	0
ENSMUSG00000101223	3	1	5	1	4	2
ENSMUSG00000026125	1	0	1	0	1	1
ENSMUSG00000101116	0	0	0	0	0	0
ENSMUSG00000026124	0	5	0	1	0	0
ENSMUSG00000101803	0	0	0	0	0	0
ENSMUSG00000037529	0	0	2	0	0	0
ENSMUSG00000045815	0	0	0	0	0	0
ENSMUSG00000045174	0	1	4	1	0	0
ENSMUSG00000100524	0	0	0	0	0	0
ENSMUSG00000102499	0	0	0	0	0	0
ENSMUSG00000103521	0	0	0	0	0	0
ENSMUSG00000104098	0	0	0	0	0	0
ENSMUSG00000037509	90	149	153	205	98	145
ENSMUSG00000104492	0	0	0	0	0	0
ENSMUSG00000102537	0	0	0	0	0	0
ENSMUSG00000102612	0	0	0	0	0	0
ENSMUSG00000104002	0	0	0	0	0	0
ENSMUSG00000037503	4656	2365	4708	5530	4450	3653
ENSMUSG00000104358	0	0	0	0	0	0
ENSMUSG00000026123	2511	3089	2862	3198	2920	1898
ENSMUSG00000103716	0	0	0	0	0	0
ENSMUSG00000103548	2	6	3	7	9	5
ENSMUSG00000103760	0	1	0	2	1	1
ENSMUSG00000103997	0	0	0	0	0	0
